   1000   1200   
  138 514   
 891 687  
 32   985 
  925   857  
   437 347  
   778  709  
 872  505 
   810 16  
 897 720 
  629   158   
   658   837   
   317 220   
  280  257 
 999  969 
   760   231  
  372   252  
 846 90 
 418  762 
   549 484   
  897   492 
   790  969  
 105  85   
 399  280 
 494   874   
   316  686 
  326  418  
   749   533 
   118 170  
  699 637   
 747  167   
   278 35   
  368   251  
  575  71  
 875   395  
 986  885  
 663  556 
  514 727   
  872  162  
 730  464 
   489   659  
   451   410   
 504   698 
   214  597 
 614   702   
 797   251  
 952   912   
 148   121 
   433  831  
 380 513   
 505  206 
   101 765   
 440 470   
   634 477   
 695   773   
   645 629   
   762 813  
  617   337  
 57 134   
  325   820 
 131 406  
   795 415  
 231  795 
 320  545 
   116   752  
  458 53   
 510 648   
  310 402   
  271   917  
   844 842 
  475 28   
  629 767   
 488   409 
 144   108   
 96 378 
  242  130   
 142   198  
 486   49   
 677  313  
   210   175 
   533 24  
 606   582 
  15 149   
   897   862 
   506 562 
  610   42  
   303   353 
   41 377  
  327  558  
  396 575 
 726 801   
 680  146   
 37  194 
 422   558   
   131  736  
 591 457   
  844  520  
 857 965   
  152   830 
  890  549  
   440 926 
 630  636 
 54  416 
 855   284   
   23 483   
  51   457  
 82   227 
   462   900   
   998   35  
  17   289 
 184  959   
 757  665   
 776  279 
  140   474   
  128  267  
   282 767 
   7  369  
 355 351 
   335   298  
  768 12   
  517 397  
  557  511 
  640 487  
   54  788   
   643 279   
  567  405   
   597 554 
 429 295 
 953 389   
 974 716 
 553   320  
  164  420  
   79  200   
   58   168  
 570   111 
  1   214   
  581  983  
  735  771   
 626   160  
  618 434   
  987   357 
 82  780   
 682   134  
   938 9  
 236  678  
  503   175   
  372  830 
 761   796  
  242   86   
  751   557   
   157  881  
 395  593 
 971   211 
 10   831 
 988 413 
  897   32   
 102 569  
  97 781  
 486   261  
 867   830   
   389 712   
 664  759 
  706  333 
 491 493 
   78  257 
 905 426  
  469   27  
   906 377 
   200  554 
 456  494 
   17 697   
  194  779  
  674 166   
 265  469   
   404 650   
  27   713  
   69  768 
 984  325  
  875  890 
 387  259 
  551   205 
   629 149  
 532 935   
 500   383 
  438  644 
  363 635  
 640 541 
  538   119 
   888   790   
  108  565   
 158   582  
 75   693 
 157  537  
   546  149 
  590   426  
  37 334  
  816 703   
 772   686  
  258 880   
 827  7   
   213   725   
   375   506   
 765 526   
 8 802 
  347  121   
  402 361 
 946  483 
   636   244  
   955  307 
   266  350 
  803  123   
   326 696 
 183 544 
  928   256   
   118   90   
 82 758 
  294  352 
 502   996   
  581  817   
  824  947  
 323 764  
   43  868   
  895  128   
  370 3   
   989 859 
  485   993 
  273   133 
 346   118 
  673   450 
 785  202  
   53   374 
   605   837   
   874 512 
  501 35   
   189 22   
 219  340 
 433   703  
   770   997  
   660  48  
  901   38 
   8 973  
   854 446   
  211 423 
   303   635  
  816   610   
 714   683  
 191   719  
  444  687 
  301   719  
 918  983  
   907  37  
   89 272   
   599 523  
   87   377   
   233   657  
  446   237   
 585  765  
 261 586  
  990   810   
  776   686   
   394  181  
 650  985   
  869 509  
 165  632   
   211 953  
   883   629  
   228 84  
  226   382  
   249  445  
 829 617   
 818  279 
 229 407  
 250  819   
 166  156   
   664   334   
   125 359  
  240 660 
  69  431   
  792 417   
  899 374  
   74  610  
 641   22   
   504   691  
 423   295  
   52  885  
 882  798  
   434  99 
 478 991 
 655  830   
 859  818  
   614  903 
  485   297 
  789  922  
 699 512  
 509   27  
   462   244   
   723   104  
   853 121 
  923  76  
   610 454 
  861   991  
  872   570 
   832 852  
  478 606  
   990 546   
   232  295  
 991 322  
  782 529  
 454  733  
  429  649  
   622   732 
   802   637 
  260   394  
  915  584 
 177 459   
  525 886  
   309  745  
   499 843   
 555  105 
  423 781 
   810 5   
   519  224 
  862 39   
  848 355  
 869   119 
   696  559   
   21   117   
 12  489  
  693  936 
 313   999 
   793  901  
   611  600   
 341   922  
  820  783 
  628 889  
  905  367 
  780   223 
   20 715   
 138  58 
  659 470 
 250  935  
   321   157  
 762  321  
   809 186  
 854  266   
 518  8 
 409 673 
  535 136   
   135 495   
 702  894   
 916   529  
   628  252   
  493 191 
 298   988 
   659 360  
 393   862   
  664  452  
   844 926   
  485   197 
   832  920   
   349 936   
  503 463   
  689 631   
  434 774 
 89 52  
  413   398 
  769 956 
   700   795  
  653   77   
   781   625 
 173   703 
  203  998  
  344 606   
  49  463 
   602 211   
  136  834   
 748 672   
  391   675   
 21 791 
   676  50 
  925   784 
   574 285  
 818   98 
   99   547 
 150 795   
 243   118  
   819   17 
   288  450  
 138   738   
   734   626  
  668  397 
  793 82  
 117 988   
  969   696 
   583  878 
 829 174  
 36   706  
 845  241 
   741   633  
 541   500 
   977 458 
 622 561   
  507  472  
 848 56 
  825  92 
   590 48   
  96  888 
 254 806 
  692   124 
   31 59   
   211 623  
 943   103  
  136  338  
  541   43 
   18   11   
  283   950   
 788  428 
 750   441 
 837 258   
 684 751  
 320   517 
   46   837 
 231 278  
  42 990   
 380   839 
 215  875 
 830   143 
  804  875   
  55   384 
 411 807   
   162 483  
  332 98  
  611 397  
  961 89 
  835 373   
   648 289  
   954   706  
   206 26 
   278   311  
 336  699   
   48 743  
  211   916   
